,mintemp,maxtemp,prcpann,temprang,rwsaetswbs,raetcwd,prcpsum,pdaetswb,pcseas,cumlswb,rwsaet,rswbaet,rpetaet,prcpwin,prcpspr,prcpfal,pdwsaetswb,mxtmpwin,mxtmpsum,mxtmpspr,mxtmpfal,mntmpwin,mntmpsu,mntmpspr,mntmpfal,cumlws,cumlpet,cumlcwd,cumlaet,monsoon
ind_10,-1.76824,30.1639,319.733,31.9077,0.658601,0.507369,26.3933,156.225,0.87298,53.8721,1.25153,0.221997,3.04585,182.447,70.6839,40.2079,77.3267,11.009,29.0522,16.4044,21.0321,-1.53086,11.5277,2.18464,16.786,308.236,743.447,743.447,497.997,0.107964933
ind_11,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_12,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_13,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_14,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_15,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_16,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_17,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_18,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_19,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_20,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_21,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_22,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_23,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_24,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_25,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_26,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_27,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_28,-6.89504,28.7475,376.191,35.5832,0.619412,0.748737,38.9616,78.1963,0.478302,167.313,1.13157,0.733209,2.33993,142.163,118.486,76.5807,22.5519,3.87037,26.4392,10.4268,15.779,-6.39394,9.16484,-1.00581,4.4646,257.092,534.185,534.185,305.797,0.084895127
ind_29,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
