,mintemp,maxtemp,prcpann,temprang,rwsaetswbs,raetcwd,prcpsum,pdaetswb,pcseas,cumlswb,rwsaet,rswbaet,rpetaet,prcpwin,prcpspr,prcpfal,pdwsaetswb,mxtmpwin,mxtmpsum,mxtmpspr,mxtmpfal,mntmpwin,mntmpsu,mntmpspr,mntmpfal,cumlws,cumlpet,cumlcwd,cumlaet,monsoon
ind_30,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_31,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_32,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_33,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_34,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_35,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_36,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_37,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_38,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_39,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_40,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_41,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_42,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_43,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
